0.432	1.34E-4	1.41E-4	1.39E-4	1.41E-4	1.33E-4	1.3E-4	1.31E-4	1.31E-4
0.408	1.21E-4	1.26E-4	1.24E-4	1.26E-4	1.18E-4	1.16E-4	1.17E-4	1.16E-4
0.384	1.07E-4	1.13E-4	1.11E-4	1.11E-4	1.04E-4	1.03E-4	1.04E-4	1.03E-4
0.36	9.5019E-5	9.9722E-5	9.7339E-5	9.8313E-5	9.2492E-5	9.0758E-5	9.2457E-5	9.225E-5
0.336	8.3456E-5	8.8349E-5	8.6149E-5	8.7448E-5	8.0669E-5	7.8387E-5	8.1381E-5	8.1338E-5
0.312	7.4383E-5	7.7885E-5	7.6566E-5	7.6427E-5	7.117E-5	6.9163E-5	7.0696E-5	7.1229E-5
0.288	6.5047E-5	6.8443E-5	6.6701E-5	6.7383E-5	6.1816E-5	6.0797E-5	6.1589E-5	6.2079E-5
0.264	5.6377E-5	6.02E-5	5.8127E-5	5.8376E-5	5.381E-5	5.2437E-5	5.2597E-5	5.3252E-5
0.24	4.8738E-5	5.1574E-5	4.9756E-5	5.0723E-5	4.5295E-5	4.4752E-5	4.4994E-5	4.5457E-5
0.216	4.1552E-5	4.4227E-5	4.2367E-5	4.3554E-5	3.8802E-5	3.8512E-5	3.8768E-5	3.8576E-5
0.192	3.5153E-5	3.7284E-5	3.5709E-5	3.7202E-5	3.2472E-5	3.2396E-5	3.2479E-5	3.2375E-5
0.168	2.8917E-5	3.0114E-5	2.8967E-5	2.9869E-5	2.6788E-5	2.5979E-5	2.5942E-5	2.553E-5
0.144	2.4343E-5	2.534E-5	2.4282E-5	2.4616E-5	2.232E-5	2.1952E-5	2.1761E-5	2.1489E-5
0.12	1.9441E-5	2.0351E-5	1.9711E-5	1.9867E-5	1.8023E-5	1.8107E-5	1.7201E-5	1.7185E-5
0.096	1.5551E-5	1.6122E-5	1.5681E-5	1.5807E-5	1.4047E-5	1.4131E-5	1.4075E-5	1.333E-5
0.072	1.1743E-5	1.2389E-5	1.1807E-5	1.2128E-5	1.0662E-5	1.0754E-5	1.0489E-5	1.0003E-5
0.048	8.562E-6	8.8438E-6	8.5645E-6	8.6875E-6	7.152E-6	7.4906E-6	7.415E-6	7.0845E-6
0.024	5.5572E-6	5.683E-6	5.5056E-6	5.5311E-6	4.5498E-6	4.796E-6	4.7395E-6	4.4775E-6
0	2.5373E-6	2.6022E-6	2.4993E-6	2.5645E-6	2.1367E-6	2.195E-6	2.1873E-6	2.1219E-6
-0.024	4.5292E-7	4.1539E-7	4.5179E-7	4.5256E-7	3.6353E-7	3.5463E-7	3.7732E-7	3.614E-7
-0.048	-2.1605E-6	-2.2475E-6	-2.145E-6	-2.175E-6	-1.8292E-6	-1.907E-6	-1.8995E-6	-1.7885E-6
-0.072	-2.7275E-6	-2.8198E-6	-2.6582E-6	-2.8639E-6	-1.9162E-6	-2.1513E-6	-2.3863E-6	-1.9895E-6
-0.096	-8.0206E-6	-8.2661E-6	-8.0764E-6	-8.2851E-6	-6.8704E-6	-7.1782E-6	-7.0524E-6	-7.0251E-6
-0.12	-1.1316E-5	-1.1724E-5	-1.1273E-5	-1.1617E-5	-9.6065E-6	-1.0247E-5	-1.011E-5	-9.4404E-6
-0.144	-1.4724E-5	-1.5185E-5	-1.471E-5	-1.5013E-5	-1.3059E-5	-1.3662E-5	-1.3686E-5	-1.2633E-5
-0.168	-1.853E-5	-1.9304E-5	-1.8594E-5	-1.9057E-5	-1.6457E-5	-1.6928E-5	-1.7236E-5	-1.6093E-5
-0.192	-2.2602E-5	-2.3549E-5	-2.2894E-5	-2.3283E-5	-2.0569E-5	-2.1456E-5	-2.1168E-5	-1.9917E-5
-0.216	-2.7546E-5	-2.8146E-5	-2.7991E-5	-2.7883E-5	-2.462E-5	-2.602E-5	-2.56E-5	-2.4301E-5
-0.24	-3.3313E-5	-3.3536E-5	-3.3108E-5	-3.3415E-5	-2.9778E-5	-3.0988E-5	-3.0725E-5	-2.94E-5
-0.264	-3.876E-5	-3.9774E-5	-3.9577E-5	-3.9141E-5	-3.559E-5	-3.7453E-5	-3.6541E-5	-3.5517E-5
-0.288	-4.5335E-5	-4.6163E-5	-4.6094E-5	-4.5952E-5	-4.1604E-5	-4.3402E-5	-4.3158E-5	-4.157E-5
-0.312	-5.2022E-5	-5.412E-5	-5.3097E-5	-5.3526E-5	-4.8013E-5	-5.0289E-5	-4.9832E-5	-4.8271E-5
-0.336	-6.0129E-5	-6.2031E-5	-6.1621E-5	-6.1082E-5	-5.556E-5	-5.832E-5	-5.6832E-5	-5.551E-5
-0.36	-6.8909E-5	-7.0266E-5	-6.9949E-5	-7.0586E-5	-6.4575E-5	-6.6555E-5	-6.5197E-5	-6.3958E-5
-0.384	-7.7335E-5	-8.0379E-5	-7.9525E-5	-8.0143E-5	-7.3167E-5	-7.5692E-5	-7.2901E-5	-7.3048E-5
-0.408	-8.8206E-5	-9.1097E-5	-9.0453E-5	-9.0434E-5	-8.3654E-5	-8.6529E-5	-8.3357E-5	-8.3334E-5
-0.432	-9.9749E-5	-1.02E-4	-1.03E-4	-1.03E-4	-9.4405E-5	-9.7006E-5	-9.5328E-5	-9.4489E-5
-0.456	-1.12E-4	-1.16E-4	-1.16E-4	-1.15E-4	-1.06E-4	-1.09E-4	-1.07E-4	-1.08E-4
-0.48	-1.27E-4	-1.32E-4	-1.29E-4	-1.3E-4	-1.21E-4	-1.23E-4	-1.22E-4	-1.22E-4
-0.504	-1.43E-4	-1.47E-4	-1.47E-4	-1.46E-4	-1.35E-4	-1.41E-4	-1.38E-4	-1.36E-4
-0.528	-1.64E-4	-1.69E-4	-1.65E-4	-1.65E-4	-1.54E-4	-1.6E-4	-1.55E-4	-1.54E-4
-0.552	-1.86E-4	-1.91E-4	-1.85E-4	-1.87E-4	-1.75E-4	-1.8E-4	-1.74E-4	-1.71E-4
-0.576	-2.12E-4	-2.15E-4	-2.07E-4	-2.11E-4	-1.95E-4	-2.03E-4	-1.95E-4	-1.92E-4
-0.6	-2.44E-4	-2.45E-4	-2.34E-4	-2.41E-4	-2.2E-4	-2.26E-4	-2.22E-4	-2.15E-4
