E	l	cap	A	W	T0	T1	error
-8.602715e-01	8.505745e-01	1.642516e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602710e-01	8.505740e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602714e-01	8.505743e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505744e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557645e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074627e-02	2.980000e+02	3.000000e+02	0.89276
-8.602715e-01	8.505745e-01	1.642515e+00	-9.557644e-01	4.074626e-02	2.980000e+02	3.000000e+02	0.89276
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-8.500000e-01	8.200000e-01	1.780000e+00	-8.500000e-01	5.300000e-01	2.980000e+02	3.000000e+02	1.49358
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663113e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663113e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663113e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663113e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663113e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663112e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-1.417487e+00	1.397720e+00	1.238606e+00	-7.663113e-01	7.833521e-01	2.980000e+02	3.000000e+02	3.08441
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-9.596221e-01	9.315990e-01	1.675418e+00	-8.338337e-01	5.789403e-01	2.980000e+02	3.000000e+02	2.36046
-8.654526e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.654526e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.654525e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.654526e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.654526e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.654526e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.654526e-01	8.357312e-01	1.765258e+00	-8.477212e-01	5.368987e-01	2.980000e+02	3.000000e+02	1.38531
-8.954294e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.954294e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.954293e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.954294e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.954294e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.954294e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.954294e-01	9.062828e-01	1.695411e+00	-9.599495e-01	3.813758e-01	2.980000e+02	3.000000e+02	1.58272
-8.735703e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
-8.735703e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
-8.735702e-01	8.548366e-01	1.746343e+00	-8.781125e-01	4.947832e-01	2.980000e+02	3.000000e+02	1.33373
