	Theory_X_data	Theory_Y_data
86	0.7	-3.3555430313947014
87	0.72	-3.3241951160901433
88	0.74	-3.2931966316748373
89	0.76	-3.2627100258151547
90	0.78	-3.2325904379488444
91	0.8	-3.2028707349597245
92	0.82	-3.173883305084894
93	0.84	-3.145137668574984
94	0.86	-3.116736662093857
95	0.88	-3.088895438607639
96	0.9	-3.0612103235173738
97	0.92	-3.0340517593811422
98	0.94	-3.0074651821024485
99	0.96	-2.98114820231905
100	0.98	-2.955280847239885
101	1.0	-2.9297360339816074
102	0.98	-2.955280847239885
103	0.96	-2.98114820231905
104	0.94	-3.0074651821024485
105	0.92	-3.0340517593811422
106	0.9	-3.0612103235173738
107	0.88	-3.088895438607639
108	0.86	-3.116736662093857
109	0.84	-3.145137668574984
110	0.82	-3.173883305084894
111	0.8	-3.2028707349597245
112	0.78	-3.2325904379488444
113	0.76	-3.2627100258151547
114	0.74	-3.2931966316748373
115	0.72	-3.3241951160901433
116	0.7	-3.3555430313947014
117	0.68	-3.3868928698301124
118	0.66	-3.4192137352336616
119	0.64	-3.4519548765680454
120	0.62	-3.485248656362399
121	0.6	-3.51882945620957
122	0.58	-3.5525759419014897
123	0.56	-3.587067976585422
124	0.54	-3.6220075042003543
125	0.52	-3.657971527615318
126	0.5	-3.693641971142423
127	0.48	-3.7296638366224455
128	0.46	-3.766546509708352
129	0.44	-3.8043930187883244
130	0.42	-3.8428156126614055
131	0.4	-3.8819118288280174
132	0.38	-3.92108064860775
133	0.36	-3.961584969663627
134	0.34	-4.003348691887136
135	0.32	-4.046249061720666
136	0.3	-4.089054945164147
137	0.28	-4.134084115215427
138	0.26	-4.180716936493036
139	0.24	-4.228484948382537
140	0.22	-4.279355800153603
141	0.2	-4.333402198438394
142	0.18	-4.388628379128027
143	0.16	-4.4500596238140036
144	0.14	-4.517549855191298
145	0.12	-4.594606334272357
146	0.1	-4.681921074110976
147	0.08	-4.78986931666985
148	0.06	-4.930371180145662
149	0.04	-5.133071864375264
150	0.02	-5.504589332100113
152	-0.02	-5.507391477214715
153	-0.04	-5.14084604398281
154	-0.06	-4.935150812010431
155	-0.08	-4.794757403605086
156	-0.1	-4.68926406840042
157	-0.12	-4.603575430921914
158	-0.14	-4.528159429859583
159	-0.16	-4.461373790708754
160	-0.18	-4.402730720009555
161	-0.2	-4.346962198327522
162	-0.22	-4.295012765615679
163	-0.24	-4.245408507451164
164	-0.26	-4.198554682453945
165	-0.28	-4.153453904319209
166	-0.3	-4.109752370269105
167	-0.32	-4.068679261326408
168	-0.34	-4.0268512961628256
169	-0.36	-3.985824329821268
170	-0.38	-3.946655965252985
171	-0.4	-3.9086166619557137
172	-0.42	-3.8702050785756192
173	-0.44	-3.832815984177714
174	-0.46	-3.796003773322939
175	-0.48	-3.7603686023527407
176	-0.5	-3.725128918132844
177	-0.52	-3.689835379157798
178	-0.54	-3.6550134462836517
179	-0.56	-3.621349641578141
180	-0.58	-3.5875633048551037
181	-0.6	-3.554531601948999
182	-0.62	-3.5215714844396704
183	-0.64	-3.4888689407263005
184	-0.66	-3.456735731665911
185	-0.68	-3.4254441815347567
186	-0.7	-3.3944488727141504
187	-0.72	-3.3636988483108383
188	-0.74	-3.3332645055198142
189	-0.76	-3.3032417310024886
190	-0.78	-3.2734999289503293
191	-0.8	-3.244667864894591
192	-0.82	-3.2159472705784706
193	-0.84	-3.18749309789509
194	-0.86	-3.15943974561189
195	-0.88	-3.1319291759181422
196	-0.9	-3.104729637298601
197	-0.92	-3.0781393843832427
198	-0.94	-3.0516334129848084
199	-0.96	-3.0255246985839994
200	-0.98	-2.9998313829207883
