Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
4.999903e+00	7.544850e-01	1.068187e-01	-1.269912e+00	-5.018669e-01	9.448482e-01	2.980000e+02	3.000000e+02	2.12419
4.999754e+00	7.463356e-01	6.606714e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.999754e+00	7.463356e-01	6.606714e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.999754e+00	7.463356e-01	6.606714e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.999754e+00	7.463356e-01	6.606729e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.999754e+00	7.463356e-01	6.606714e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.999754e+00	7.463356e-01	6.606714e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.999754e+00	7.463356e-01	6.606714e-03	-1.270046e+00	-4.987227e-01	9.451925e-01	2.980000e+02	3.000000e+02	1.36252
4.882760e+00	7.470343e-01	-1.044857e-02	-1.275681e+00	-5.021047e-01	9.132390e-01	2.980000e+02	3.000000e+02	nan
4.972933e+00	7.427854e-01	-1.075326e-02	-1.271563e+00	-4.994551e-01	9.373989e-01	2.980000e+02	3.000000e+02	nan
4.999697e+00	7.455862e-01	-5.888173e-03	-1.270059e+00	-4.987131e-01	9.451678e-01	2.980000e+02	3.000000e+02	nan
4.999747e+00	7.462549e-01	3.478564e-03	-1.270048e+00	-4.987217e-01	9.451895e-01	2.980000e+02	3.000000e+02	3.82590
4.999753e+00	7.463177e-01	5.824622e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999753e+00	7.463177e-01	5.824622e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999753e+00	7.463177e-01	5.824622e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999753e+00	7.463177e-01	5.824637e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999753e+00	7.463177e-01	5.824622e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999753e+00	7.463177e-01	5.824622e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999753e+00	7.463177e-01	5.824622e-03	-1.270047e+00	-4.987225e-01	9.451918e-01	2.980000e+02	3.000000e+02	1.34772
4.999749e+00	7.462818e-01	4.260505e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999749e+00	7.462818e-01	4.260505e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999749e+00	7.462818e-01	4.260505e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999749e+00	7.462818e-01	4.260520e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999749e+00	7.462818e-01	4.260505e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999749e+00	7.462818e-01	4.260505e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999749e+00	7.462818e-01	4.260505e-03	-1.270047e+00	-4.987221e-01	9.451905e-01	2.980000e+02	3.000000e+02	1.31662
4.999741e+00	7.462356e-01	1.132058e-03	-1.270048e+00	-4.987215e-01	9.451881e-01	2.980000e+02	3.000000e+02	nan
4.999747e+00	7.462737e-01	3.478350e-03	-1.270048e+00	-4.987220e-01	9.451900e-01	2.980000e+02	3.000000e+02	3.82606
4.999749e+00	7.462800e-01	4.064964e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999749e+00	7.462800e-01	4.064964e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999749e+00	7.462800e-01	4.064964e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999749e+00	7.462800e-01	4.064979e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999749e+00	7.462800e-01	4.064964e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999749e+00	7.462800e-01	4.064964e-03	-1.270047e+00	-4.987221e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999749e+00	7.462800e-01	4.064964e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31271
4.999748e+00	7.462763e-01	3.673887e-03	-1.270048e+00	-4.987220e-01	9.451901e-01	2.980000e+02	3.000000e+02	2.63149
4.999748e+00	7.462791e-01	3.967195e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31280
4.999749e+00	7.462797e-01	4.040522e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999749e+00	7.462797e-01	4.040522e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999749e+00	7.462798e-01	4.040522e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999749e+00	7.462797e-01	4.040537e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999749e+00	7.462797e-01	4.040522e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999749e+00	7.462797e-01	4.040522e-03	-1.270047e+00	-4.987221e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999749e+00	7.462797e-01	4.040522e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31222
4.999748e+00	7.462793e-01	3.991637e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31329
4.999749e+00	7.462796e-01	4.028301e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31198
4.999749e+00	7.462796e-01	4.028301e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31198
4.999749e+00	7.462797e-01	4.028301e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31198
4.999749e+00	7.462796e-01	4.028315e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31198
4.999749e+00	7.462796e-01	4.028301e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31198
4.999749e+00	7.462796e-01	4.028301e-03	-1.270047e+00	-4.987221e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31198
4.999749e+00	7.462796e-01	4.028301e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31198
4.999748e+00	7.462794e-01	4.003858e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	2.16165
4.999748e+00	7.462796e-01	4.022190e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	2.16164
4.999749e+00	7.462796e-01	4.026773e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31195
4.999749e+00	7.462796e-01	4.026773e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31195
4.999749e+00	7.462796e-01	4.026773e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31195
4.999749e+00	7.462796e-01	4.026788e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31195
4.999749e+00	7.462796e-01	4.026773e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31195
4.999749e+00	7.462796e-01	4.026773e-03	-1.270047e+00	-4.987221e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31195
4.999749e+00	7.462796e-01	4.026773e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31195
4.999748e+00	7.462796e-01	4.023718e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	2.16164
4.999749e+00	7.462796e-01	4.026009e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	2.16164
4.999749e+00	7.462796e-01	4.026582e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026582e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026582e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026597e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026582e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026582e-03	-1.270047e+00	-4.987221e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026582e-03	-1.270047e+00	-4.987220e-01	9.451904e-01	2.980000e+02	3.000000e+02	1.31194
4.999749e+00	7.462796e-01	4.026200e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	2.16164
4.999749e+00	7.462796e-01	4.026486e-03	-1.270047e+00	-4.987220e-01	9.451903e-01	2.980000e+02	3.000000e+02	1.31194
