Offset	Energy	lambda	cap	A	QWidth	T0	T1	error
2.227188e+00	7.000000e-01	7.858033e-01	-2.252427e+00	-1.470049e+00	1.195754e-02	2.980000e+02	3.000000e+02	2.20776
7.424855e+00	7.000000e-01	4.136714e-01	-1.447768e+00	-2.135868e-01	4.524592e-02	2.980000e+02	3.000000e+02	2.29025
1.298698e+01	7.000000e-01	8.133799e-01	-1.827560e+00	-1.331884e+00	7.804516e-02	2.980000e+02	3.000000e+02	1.83334
7.043632e+00	7.000000e-01	7.523341e-01	-7.903049e-01	-3.672304e-01	2.120117e-01	2.980000e+02	3.000000e+02	3.51705
2.189043e+00	7.000000e-01	5.528900e-01	-1.788443e+00	-8.989732e-01	1.921099e-02	2.980000e+02	3.000000e+02	2.71322
8.941533e+00	7.000000e-01	3.286682e-01	-5.140174e-01	-8.797330e-01	9.504054e-02	2.980000e+02	3.000000e+02	2.25644
1.726475e+01	7.000000e-01	5.807186e-01	-2.439646e+00	-1.463117e+00	6.741369e-02	2.980000e+02	3.000000e+02	1.94602
1.448106e+01	7.000000e-01	2.209397e-01	-1.741052e-01	-1.135976e+00	2.449290e-01	2.980000e+02	3.000000e+02	1.89200
1.236615e+01	7.000000e-01	1.375359e-01	-1.003004e+00	-1.435573e-01	4.095838e-02	2.980000e+02	3.000000e+02	2.13892
3.926330e+00	7.000000e-01	5.597078e-01	-1.974968e+00	-3.897409e-01	5.184235e-02	2.980000e+02	3.000000e+02	2.37357
7.568891e+00	7.000000e-01	3.790186e-01	-4.756457e-01	-7.724279e-01	3.321194e-02	2.980000e+02	3.000000e+02	1.82358
1.359245e+01	7.000000e-01	3.683425e-01	-8.536660e-02	-7.941106e-01	2.185458e-02	2.980000e+02	3.000000e+02	2.05728
1.898290e+01	7.000000e-01	4.427278e-01	-1.559771e+00	-7.368529e-01	6.816771e-03	2.980000e+02	3.000000e+02	1.65465
1.818246e+01	7.000000e-01	8.429939e-02	-1.369594e+00	-3.465458e-01	1.511342e-01	2.980000e+02	3.000000e+02	1.79824
6.916435e+00	7.000000e-01	1.954966e-01	-5.471637e-01	-1.364534e+00	3.648144e-02	2.980000e+02	3.000000e+02	2.26420
1.274190e+01	7.000000e-01	7.633962e-01	-8.062457e-01	-7.690991e-01	8.250591e-02	2.980000e+02	3.000000e+02	3.34344
6.682755e+00	7.000000e-01	8.094247e-01	-8.477233e-01	-1.118549e+00	1.262245e-02	2.980000e+02	3.000000e+02	1.87184
7.299349e-01	7.000000e-01	4.060366e-01	-1.254801e+00	-9.727032e-01	1.332972e-01	2.980000e+02	3.000000e+02	2.71517
1.060333e+01	7.000000e-01	3.198649e-01	-2.600072e-01	-4.016452e-01	2.458100e-01	2.980000e+02	3.000000e+02	2.28635
1.324584e+01	7.000000e-01	3.619651e-01	-1.703015e+00	-1.314285e+00	1.526629e-01	2.980000e+02	3.000000e+02	2.10504
3.786097e+00	7.000000e-01	6.568416e-02	-5.223162e-01	-4.655206e-01	1.417966e-01	2.980000e+02	3.000000e+02	2.43780
6.160217e+00	7.000000e-01	7.665378e-01	-3.247959e-01	-9.408384e-01	1.583128e-01	2.980000e+02	3.000000e+02	1.47375
1.063815e+01	7.000000e-01	5.694308e-01	-5.240258e-01	-8.942251e-01	1.311354e-02	2.980000e+02	3.000000e+02	2.69552
6.776335e-01	7.000000e-01	5.128750e-01	-2.301003e+00	-9.618862e-01	9.986546e-02	2.980000e+02	3.000000e+02	2.80051
1.864187e+01	7.000000e-01	1.059559e-01	-1.336801e+00	-3.302788e-01	2.475035e-01	2.980000e+02	3.000000e+02	1.76435
6.521129e+00	7.000000e-01	6.178241e-01	-1.421649e+00	-3.540339e-01	2.318342e-01	2.980000e+02	3.000000e+02	2.56058
1.528847e+01	7.000000e-01	9.888354e-01	-8.263174e-01	-8.252155e-01	2.630002e-02	2.980000e+02	3.000000e+02	3.41043
2.336577e+00	7.000000e-01	7.188326e-01	-2.343075e-01	-8.744851e-01	1.384526e-01	2.980000e+02	3.000000e+02	1.86366
1.291955e+01	7.000000e-01	6.282851e-02	-1.458952e+00	-1.179436e+00	2.757443e-02	2.980000e+02	3.000000e+02	1.97191
1.431170e+00	7.000000e-01	9.534580e-01	-7.607880e-01	-1.441601e+00	1.442438e-01	2.980000e+02	3.000000e+02	2.12433
4.388715e+00	7.000000e-01	8.284385e-01	-9.084867e-01	-9.857207e-01	1.717203e-01	2.980000e+02	3.000000e+02	2.94042
1.283501e+01	7.000000e-01	8.290459e-01	-4.454626e-01	-7.611029e-01	2.138519e-01	2.980000e+02	3.000000e+02	2.91340
1.455283e+01	7.000000e-01	1.217328e-01	-3.098844e-01	-1.220827e+00	1.299236e-01	2.980000e+02	3.000000e+02	1.88424
1.896106e+01	7.000000e-01	1.545745e-01	-9.434601e-01	-7.165341e-01	2.735549e-02	2.980000e+02	3.000000e+02	2.29654
8.868374e+00	7.000000e-01	6.921091e-01	-3.756847e-01	-6.131494e-01	2.330442e-01	2.980000e+02	3.000000e+02	2.51049
9.984846e+00	7.000000e-01	4.042392e-01	-3.494402e-01	-1.415786e+00	1.665336e-01	2.980000e+02	3.000000e+02	2.21613
1.499470e+01	7.000000e-01	6.264714e-01	-1.230665e+00	-2.433667e-01	1.722410e-01	2.980000e+02	3.000000e+02	2.53435
1.506413e+01	7.000000e-01	8.639132e-01	-1.657846e+00	-3.737724e-01	1.906490e-02	2.980000e+02	3.000000e+02	2.02748
8.085875e-01	7.000000e-01	6.323191e-01	-9.458632e-02	-6.570744e-01	1.206991e-01	2.980000e+02	3.000000e+02	2.45847
3.146761e+00	7.000000e-01	5.114473e-01	-8.078904e-01	-5.617116e-01	1.720240e-01	2.980000e+02	3.000000e+02	3.21780
1.360174e+01	7.000000e-01	8.467110e-01	-1.209178e+00	-1.159576e+00	5.757492e-02	2.980000e+02	3.000000e+02	2.09391
1.420297e+01	7.000000e-01	5.367622e-01	-8.991862e-01	-9.105083e-01	6.380738e-02	2.980000e+02	3.000000e+02	2.94467
1.135148e+01	7.000000e-01	4.893513e-01	-8.957776e-01	-8.878234e-01	2.202275e-01	2.980000e+02	3.000000e+02	2.60765
9.080326e+00	7.000000e-01	3.426631e-01	-6.731945e-01	-1.468321e+00	1.450560e-01	2.980000e+02	3.000000e+02	2.20278
4.325815e+00	7.000000e-01	7.552733e-01	-2.922777e-02	-8.412281e-01	3.227325e-02	2.980000e+02	3.000000e+02	2.15361
